68dbf6ccb8a2ee918983bfd8|170344|149|10.0|{"SS0001":10.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:07
68dbf6ccb8a2ee918983bfd9|170344|249|10.0|{"SS0001":10.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:07
68dbf6ccb8a2ee918983bfda|170344|039|10.0|{"SS0001":10.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:07
68dbf6ccb8a2ee918983bfdb|170344|147|10.0|{"SS0001":10.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:07
68dbf6ccb8a2ee918983bfdc|170344|组选129|10.0|{"SS0001":10.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:07
68dbf6ccb8a2ee918983bfdd|170344|组选149|10.0|{"SS0001":10.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:07
68dbf6ccb8a2ee918983bfde|170344|组选249|10.0|{"SS0001":10.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:07
68dbf6ccb8a2ee918983bfdf|170344|组选039|10.0|{"SS0001":10.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:07
68dbf6ccb8a2ee918983bfe0|170344|组选147|10.0|{"SS0001":10.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:07
68dbf6ccb8a2ee918983bfe2|170344|组六12457|40.0|{"SS0001":40.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:08
68dbf6cfb8a2ee918983bfe4|170344|517|8.0|{"SS0001":8.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:11
68dbf6cfb8a2ee918983bfe5|170344|107|8.0|{"SS0001":8.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:11
68dbf6cfb8a2ee918983bfe6|170344|510|8.0|{"SS0001":8.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:11
68dbf6cfb8a2ee918983bfe7|170344|组选157|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:11
68dbf6cfb8a2ee918983bfe8|170344|组选017|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:11
68dbf6cfb8a2ee918983bfe9|170344|组选015|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:11
68dbf6d2b8a2ee918983bfeb|170344|349|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:14
68dbf6d2b8a2ee918983bfec|170344|279|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:14
68dbf6d2b8a2ee918983bfed|170344|279|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:14
68dbf6d2b8a2ee918983bfee|170344|729|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:14
68dbf6d2b8a2ee918983bfef|170344|792|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:14
68dbf6d2b8a2ee918983bff0|170344|479|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:14
68dbf6d2b8a2ee918983bff1|170344|101|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:14
68dbf6d2b8a2ee918983bff2|170344|组选349|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:14
68dbf6d2b8a2ee918983bff3|170344|组选279|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:14
68dbf6d2b8a2ee918983bff4|170344|组选279|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:14
68dbf6d2b8a2ee918983bff5|170344|组选279|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:14
68dbf6d2b8a2ee918983bff6|170344|组选279|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:14
68dbf6d2b8a2ee918983bff7|170344|组选479|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:14
68dbf6d2b8a2ee918983bff8|170344|组选011|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:14
68dbf6d5b8a2ee918983bffa|170344|753|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:16
68dbf6d5b8a2ee918983bffb|170344|361|4.0|{"SS0001":4.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:16
68dbf6d5b8a2ee918983bffc|170344|组选357|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-30 23:27:16
