68cacedb2486dfb21a55c41b|170344|028|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:11
68cacedb2486dfb21a55c41c|170344|029|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:11
68cacedb2486dfb21a55c41d|170344|034|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:11
68cacedb2486dfb21a55c41e|170344|035|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:11
68cacedb2486dfb21a55c41f|170344|036|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:11
68cacedb2486dfb21a55c420|170344|037|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:11
68cacedb2486dfb21a55c421|170344|038|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:11
68cacedb2486dfb21a55c422|170344|039|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:11
68cacedb2486dfb21a55c423|170344|045|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:11
68cacedb2486dfb21a55c424|170344|046|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:11
68cacedb2486dfb21a55c425|170344|047|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:11
68cacedb2486dfb21a55c426|170344|048|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:11
68cacedb2486dfb21a55c427|170344|049|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:11
68cacedb2486dfb21a55c428|170344|056|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:11
68cacedb2486dfb21a55c429|170344|057|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:11
68cacedb2486dfb21a55c42a|170344|058|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:11
68cacedb2486dfb21a55c42b|170344|059|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:11
68cacedb2486dfb21a55c42c|170344|067|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:11
68cacedb2486dfb21a55c42d|170344|068|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:11
68cacedb2486dfb21a55c42e|170344|069|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:11
68cacedb2486dfb21a55c42f|170344|078|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:11
68cacedb2486dfb21a55c430|170344|079|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:11
68cacedb2486dfb21a55c431|170344|089|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:11
68cacedb2486dfb21a55c432|170344|123|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:11
68cacedb2486dfb21a55c433|170344|124|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:11
68cacedb2486dfb21a55c434|170344|125|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:11
68cacedb2486dfb21a55c435|170344|126|2.0|{"SS0001":2.0}|{"SS0001":0.08,"xx01":0}|2025-09-17 23:08:11
